Tanggal,Teks_Ulasan,Rating,Teks_Bersih,Teks_Stopword,Teks_Stemming
2026-05-27 08:39:16,"game pelit, gacha gilt 72× isinya sampah semua",1,game pelit gacha gilt isinya sampah semua,pelit gacha gilt isinya sampah,pelit gacha gilt isi sampah
2026-05-27 08:33:26,ok juga,2,ok juga,ok,ok
2026-05-27 08:27:05,mantap banget grafik nya keren,5,mantap banget grafik nya keren,mantap grafik keren,mantap grafik keren
2026-05-27 08:11:47,game bagus halalw,5,game bagus halalw,bagus halalw,bagus halalw
2026-05-27 06:51:15,game menarik kurangnya event nya yg kurang memuaskan,5,game menarik kurangnya event nya yg kurang memuaskan,menarik kurangnya event memuaskan,tarik kurang event muas
2026-05-27 06:18:52,game kontol,1,game kontol,kontol,kontol
2026-05-27 04:53:45,Tch nandayo koitse,4,tch nandayo koitse,tch nandayo koitse,tch nandayo koitse
2026-05-27 04:24:55,di sayang kan sinyalnya di perbaiki,5,di sayang kan sinyalnya di perbaiki,sayang sinyalnya perbaiki,sayang sinyal baik
2026-05-27 04:20:26,"game ngantuk dan kikir saya heran masih ada yang mau memainkannya, ayo pindah delta force!!!",5,game ngantuk dan kikir saya heran masih ada yang mau memainkannya ayo pindah delta force,ngantuk kikir heran memainkannya ayo pindah delta force,ngantuk kikir heran main ayo pindah delta force
2026-05-27 03:37:53,"wey gimna nih akun ku yg login facebook kok gak bisa di buka,, macam mana ini,, izin login yg bisa cuman lewat gmail,, sedangkan akun ku yg satu nya cuman login FB mana udah top up banyak lagi",2,wey gimna nih akun ku yg login facebook kok gak bisa di buka macam mana ini izin login yg bisa cuman lewat gmail sedangkan akun ku yg satu nya cuman login fb mana udah top up banyak lagi,wey gimna nih akun ku login facebook buka izin login cuman gmail akun ku cuman login fb top up,wey gimna nih akun ku login facebook buka izin login cuman gmail akun ku cuman login fb top up
2026-05-27 03:04:55,seru banget,5,seru banget,seru,seru
2026-05-27 02:17:45,HAPUS GRADING KNTOLL,1,hapus grading kntoll,hapus grading kntoll,hapus grading kntoll
2026-05-27 00:38:21,"saya gak bisa login , hanya stuck di loading 😓🫩",1,saya gak bisa login hanya stuck di loading,login stuck loading,login stuck loading
2026-05-27 00:02:37,"cuma buat tes hp baru aja, game play nya jauh lebih enak free fire. petualangannya sih bagus, cuma lebih suka perangnya saja",1,cuma buat tes hp baru aja game play nya jauh lebih enak free fire petualangannya sih bagus cuma lebih suka perangnya saja,tes hp play enak free fire petualangannya bagus suka perangnya,tes hp play enak free fire tualang bagus suka perang
2026-05-26 23:47:35,game rusak,1,game rusak,rusak,rusak
2026-05-26 23:25:54,grinding idiot ajg,1,grinding idiot ajg,grinding idiot ajg,grinding idiot ajg
2026-05-26 22:44:58,"makin jelek game pubg sekarang pakai ada greding segala makin kesini makin gak seru kecewa kita dengan game pubg sekarang bukan heppy yg di dapat atau kesenangan ,ada nya greding bikin player makin ngendok bikin bosen gk kaya dulu seson awal² seru",2,makin jelek game pubg sekarang pakai ada greding segala makin kesini makin gak seru kecewa kita dengan game pubg sekarang bukan heppy yg di dapat atau kesenangan ada nya greding bikin player makin ngendok bikin bosen gk kaya dulu seson awal seru,jelek pakai greding kesini seru kecewa heppy kesenangan greding player ngendok bosen gk kaya seson seru,jelek pakai greding kesini seru kecewa heppy senang greding player ngendok bosen gk kaya seson seru
2026-05-26 22:32:01,bot nya kurangi lah eventnya jelek lebih baik kasih event tanpa merubah map dengan memberikan loot lebih banyak di daerah tertentu,3,bot nya kurangi lah eventnya jelek lebih baik kasih event tanpa merubah map dengan memberikan loot lebih banyak di daerah tertentu,bot kurangi eventnya jelek kasih event merubah map loot daerah,bot kurang eventnya jelek kasih event rubah map loot daerah
2026-05-26 22:12:17,"gw main dr season 4,Alhamdulillah betah sampe sekarang,min tolong ram nya di perkecil,biar temen gw yg android ram kecil bisa main lagi",5,gw main dr season alhamdulillah betah sampe sekarangmin tolong ram nya di perkecilbiar temen gw yg android ram kecil bisa main lagi,main dr season alhamdulillah betah sampe sekarangmin tolong ram perkecilbiar temen android ram main,main dr season alhamdulillah betah sampe sekarangmin tolong ram perkecilbiar temen android ram main
2026-05-26 21:47:02,gatau males pengin main ml,1,gatau males pengin main ml,gatau males pengin main ml,gatau males pengin main ml
2026-05-26 21:39:21,👍,5,,,
2026-05-26 21:36:08,"seru juga nih, tapi ada masalah di jaringan aja nih tolong di optimalkan",4,seru juga nih tapi ada masalah di jaringan aja nih tolong di optimalkan,seru nih jaringan nih tolong optimalkan,seru nih jaring nih tolong optimal
2026-05-26 21:16:33,gamenya susah,1,gamenya susah,gamenya susah,gamenya susah
