Tanggal,Teks_Ulasan,Rating
2026-05-27 08:39:16,"game pelit, gacha gilt 72× isinya sampah semua",1
2026-05-27 08:33:26,ok juga,2
2026-05-27 08:27:05,mantap banget grafik nya keren,5
2026-05-27 08:11:47,game bagus halalw,5
2026-05-27 06:51:15,game menarik kurangnya event nya yg kurang memuaskan,5
2026-05-27 06:18:52,game kontol,1
2026-05-27 04:53:45,Tch nandayo koitse,4
2026-05-27 04:24:55,di sayang kan sinyalnya di perbaiki,5
2026-05-27 04:20:26,"game ngantuk dan kikir saya heran masih ada yang mau memainkannya, ayo pindah delta force!!!",5
2026-05-27 03:37:53,"wey gimna nih akun ku yg login facebook kok gak bisa di buka,, macam mana ini,, izin login yg bisa cuman lewat gmail,, sedangkan akun ku yg satu nya cuman login FB mana udah top up banyak lagi",2
2026-05-27 03:04:55,seru banget,5
2026-05-27 02:17:45,HAPUS GRADING KNTOLL,1
2026-05-27 00:38:21,"saya gak bisa login , hanya stuck di loading 😓🫩",1
2026-05-27 00:02:37,"cuma buat tes hp baru aja, game play nya jauh lebih enak free fire. petualangannya sih bagus, cuma lebih suka perangnya saja",1
2026-05-26 23:47:35,game rusak,1
2026-05-26 23:25:54,grinding idiot ajg,1
2026-05-26 22:44:58,"makin jelek game pubg sekarang pakai ada greding segala makin kesini makin gak seru kecewa kita dengan game pubg sekarang bukan heppy yg di dapat atau kesenangan ,ada nya greding bikin player makin ngendok bikin bosen gk kaya dulu seson awal² seru",2
2026-05-26 22:32:01,bot nya kurangi lah eventnya jelek lebih baik kasih event tanpa merubah map dengan memberikan loot lebih banyak di daerah tertentu,3
2026-05-26 22:12:17,"gw main dr season 4,Alhamdulillah betah sampe sekarang,min tolong ram nya di perkecil,biar temen gw yg android ram kecil bisa main lagi",5
2026-05-26 21:47:02,gatau males pengin main ml,1
2026-05-26 21:39:21,👍,5
2026-05-26 21:36:08,"seru juga nih, tapi ada masalah di jaringan aja nih tolong di optimalkan",4
2026-05-26 21:16:33,gamenya susah,1
2026-05-26 20:35:37,"tolong lah bug bug nya di hilangkan,nyesek kali rasanya habis top up mau push rank ada aja penyakit nya,paling ngeselin bug jaringan,padahal sinyal bagus tapi bisa bisa nya loading,konyol kali bug nya",1
2026-05-26 19:54:21,"pliss ilangin aja mode grading menurut ku itu cuman bikin turun KD,emang betul Rank yg bakal nambah naik tapi KD ancur2an cumn demi naik rank.. kan orang2 pada ngendok semuaaaa!! pliss lah PUBG plisss hapus grading itu capek nihh😭😭 semenjak ada grading jujur nih KD gw malah hancur..capek ama PUBG skrg..🥱",3
2026-05-26 19:49:19,aku pemain lama udah 8thn kecewa tidak di kasih baju gilt dan xsuitnya kalau nanti tidak di kasih baju gilt ala gladiator fiks saya akan berhenti main pubgm😭😭😭😭😭😭,1
2026-05-26 19:39:54,bagus tapi gak bisa di buka eror,1
2026-05-26 18:42:18,game haram jangan buat mainnin pas bulan ramadhan,1
2026-05-26 18:41:17,matchmaking terlalu lama sampai 9 menit. dan gagal,1
2026-05-26 18:40:43,"aturan tambah gak jelas ini,email bener² aktif di bilang tidak aktif kocak ni server bodoh,peraturan juga bodoh,login email di bilang salah akun koplak🤬🤬",1
2026-05-26 18:18:39,77 8i k,5
2026-05-26 17:16:21,kacau hampir tiap hari updet mulu apk makin berat pantesan player pubg sekarang beekurang trus banyak skin yang aneh aneh kaya game ff gak seruu,1
2026-05-26 16:01:52,pubg game haram mending main game gta san andreas,1
2026-05-26 14:49:26,game baperan,3
2026-05-26 14:14:22,"game ini sangat baik di mainkan dan baik Skali untuk mengasah otak dengan mencari senjata dan menembak musuh baik itu di licik atau di rangjer petanya juga sangat banyak game PUBG ini ngga ada yang kalahin kalau di game game PUBG ini lebih baik dari dari manapun itu kalau dari saya game PUBG ini tetap game nomor 1 se dunia stau SE alam semesta,buat yang membuat game PUBG ini aku berterimakasih sekali kepada xprmbuat game ini, jika game ini tidak ada saya tidak akan merasakan bermain game PUBG.🤍",5
2026-05-26 13:43:38,server bapuk,1
2026-05-26 12:57:56,mirip ff,4
2026-05-26 12:55:55,"kepada game Pubg yang terhormat: TOLONG DITAMBAHKAN TOMBOL (AUTO SCOPE) karena saya player 2 jari, saya kesulitan saat memainkan game ini. mohon tombol auto scopenya ditambahkan, terima kasih.🙂",5
2026-05-26 12:52:19,game burik banyak orang ngedok,1
2026-05-26 12:15:34,Lukman Bima Ntb (Lukman HJaharudin),5
2026-05-26 11:59:16,di hp redmegic lancar jaya grafik super smooth dan extreme,5
2026-05-26 11:42:29,semenjak.4.4 saya main bug dan patah2.ngelat parah.mau beli hp sesuain masi belum mampu.saya pakai samsung m30s sudah tidak kuat lagi untuk bermain,5
2026-05-26 11:19:43,gem ini sangat bagus dan menyenangkan,5
2026-05-26 11:18:22,musuh nya boot semua,2
2026-05-26 10:37:17,miss pubg before,5
2026-05-26 10:27:26,bagus,5
2026-05-26 10:13:28,"tolong developer nya kenapa UC saya tiba² berkurang sendiri pdahal tidak digunakan, tolong lah kita beli UC mengunakan uang sungguhan,UC saya berkurang kisaran 300 UC kurang dikit, tolong perbaiki sistem keamanan",5
2026-05-26 09:17:40,I em like pubg,5
2026-05-26 08:29:08,game mandang sosial,1
2026-05-26 08:08:37,ikut ikutan epep dih,1
2026-05-26 08:03:26,"saat bermain game, saya merekam permainan untuk satu match, tapi hasil rekaman suaranya tidak normal hanya terdengar seperti angin ribut, padahal sebelumnya baik2 saja, mungkin setelah update sedikit pembaruan saat membuka game",3
2026-05-26 07:40:28,game paling pelit yang pernah gua mainin,1
2026-05-26 07:38:20,"Bintang 1. Game penuh manipulasi. Bot-nya bukan buat mengisi slot tapi buat memanipulasi gameplay. Tiba-tiba jadi aimbot (instan headshot) cuma buat bikin player panik dan kalah. Bukan game skill, tapi game scripted. Percuma main serius kalau sistemnya curang. Uninstalled.",1
2026-05-26 06:48:42,Mantap,5
2026-05-26 03:27:37,sangat luar biasa,5
2026-05-25 23:18:40,gua download ini gara-gara encang Smith,4
2026-05-25 23:09:51,Perfect game,5
2026-05-25 22:28:19,"ini kenapa gw nga bisa login, udah di perbarui ulang tetep aja, nyampe 3x login harus ngulang dan ada waktu pula 300 detik gimna lah",3
2026-05-25 22:26:05,kenapa ngak seperti dulu game nya agak aneh rasanya main game ini sekarang musuhnya hebat hebat lagi nggak seperti dulu dulu ngak ada gyiro ataupun pakai handset tapi sekarang pakai handsed😭😭😭,5
2026-05-25 22:21:21,makin kesini chiter makin merajalela aja delover tolong tingkatkan kemanan nya lagi chiter masi aja ada makin malas tuk bermain pubg kalo masih ada chiter dan hilangkan ipen ipen yang tidak jelas,2
2026-05-25 22:20:09,pubg menyenangkan apabila device mendukung,5
2026-05-25 21:54:54,"kalau bikin game yang niat masa poin turun nya banyak banget, sekalinya poin kenaikan nya dikit banget nambah nya, itu yang bikin game lu sepi wkwkwkk🤣🤣🤣",1
